doc_id,source_id,source,label,n_words,preview_teks,sty__char_count,sty__word_count,sty__sentence_count,sty__avg_sentence_length,sty__avg_word_length,sty__unique_word_ratio,sty__comma_count,sty__semicolon_count,sty__question_mark_count,sty__exclamation_mark_count,sty__period_count,sty__colon_count,sty__punctuation_ratio,sty__uppercase_ratio,sty__digit_ratio,sty__special_char_count,sty__special_char_ratio,sty__function_word_ratio,perplexity
10,5,id_newspapers_2018,0,503,Majelis hakim Pengadilan Tindak Pidana Korupsi memvonis Direktur Keuangan PT Bra,3539.0,503.0,24.0,20.958334,5.8046875,0.50390625,26.0,0.0,0.0,0.0,24.0,0.0,0.0141282845,0.05255722,0.016388811,65.0,0.01836677,0.16210938,57.860832
11,5,id_newspapers_2018,1,285,Majelis Hakim Pengadilan Negeri Jakarta Selatan akhirnya menjatuhkan vonis terha,2018.0,285.0,15.0,19.0,5.9335666,0.54195803,19.0,0.0,0.0,0.0,15.0,0.0,0.016848365,0.04410307,0.009910802,37.0,0.018334985,0.1923077,18.057056
12,6,id_newspapers_2018,0,399,"Terhitung mulai tahun depan, Pegawai Negeri Sipil (PNS) yang pensiun atau mening",2822.0,399.0,19.0,21.0,5.711165,0.44417477,20.0,0.0,0.0,0.0,19.0,1.0,0.013819986,0.064847626,0.03260099,71.0,0.025159461,0.1553398,64.366905
13,6,id_newspapers_2018,1,305,Menteri Keuangan Sri Mulyani Indrawati mengumumkan kebijakan baru mengenai tunja,2191.0,305.0,19.0,16.052631,5.990228,0.49185666,15.0,0.0,0.0,0.0,19.0,0.0,0.015518028,0.036056597,0.0036513007,48.0,0.021907805,0.257329,20.078154
14,7,id_newspapers_2018,0,347,Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Yuddy Chrisnandi m,2423.0,347.0,21.0,16.52381,5.7301135,0.57954544,21.0,0.0,0.0,0.0,21.0,0.0,0.017333884,0.068922825,0.015683038,60.0,0.02476269,0.15625,64.26897
15,7,id_newspapers_2018,1,377,"Menteri Pendidikan dan Kebudayaan, Nadiem Makarim, mengintruksikan kepada para K",2900.0,377.0,18.0,20.944445,6.5263157,0.42631578,21.0,0.0,0.0,0.0,18.0,0.0,0.013448276,0.03586207,0.0027586208,44.0,0.015172414,0.24473684,17.382687
16,8,id_newspapers_2018,0,225,Liverpool unggul 1-0 atas Tottenham Hotspur hingga jeda babak pertama babak 16 b,1666.0,225.0,15.0,15.0,6.00431,0.7413793,16.0,7.0,0.0,0.0,15.0,2.0,0.022809124,0.06602641,0.007803121,49.0,0.029411765,0.094827585,177.82137
17,8,id_newspapers_2018,1,358,Liverpool berhasil memetik kemenangan penting pada pertandingan pekan ke-32 liga,2629.0,358.0,25.0,14.32,6.0819674,0.48360655,13.0,0.0,0.0,0.0,25.0,0.0,0.0144541655,0.028527958,0.0053252187,46.0,0.017497147,0.21857923,22.159676
18,9,id_newspapers_2018,0,293,"Teknologi terus berkembang dan model gawai pun makin beragam, sementara di sisi ",2183.0,293.0,15.0,19.533333,6.1919193,0.6262626,28.0,0.0,0.0,0.0,15.0,1.0,0.019697664,0.018781492,0.0013742556,52.0,0.02382043,0.18855219,47.117218
19,9,id_newspapers_2018,1,369,"Akhir-akhir ini, banyak anak-anak lebih memilih untuk berdiam di dalam ruangan d",2638.0,369.0,22.0,16.772728,5.663239,0.41131106,25.0,0.0,0.0,0.0,22.0,0.0,0.017816527,0.008339651,0.0,67.0,0.025398029,0.24421594,14.572994
20,10,id_newspapers_2018,0,274,"Pelatih timnas Argentina, Edgardo Bauza berhasil membujuk Lionel Messi untuk tet",1928.0,274.0,16.0,17.125,5.908759,0.6021898,10.0,0.0,0.0,0.0,16.0,0.0,0.013485477,0.040975105,0.0062240665,36.0,0.0186722,0.17883211,124.1363
21,10,id_newspapers_2018,1,381,Barcelona akhirnya bisa mengakhiri musim 2021-2022 dengan status juara La Liga. ,2601.0,381.0,24.0,15.875,5.597938,0.58505154,18.0,0.0,0.0,0.0,24.0,0.0,0.016147636,0.02921953,0.012687428,49.0,0.018838909,0.21907216,36.511654
22,11,id_newspapers_2018,0,313,Indeks Harga Saham Gabungan (IHSG) diprediksi masih menguat terbatas pada perdag,2294.0,313.0,25.0,12.52,5.59587,0.61946905,34.0,0.0,0.0,0.0,25.0,0.0,0.025719268,0.0418483,0.0374891,85.0,0.037053183,0.12684366,154.64896
23,11,id_newspapers_2018,1,365,Rilis laporan keuangan masih menjadi salah satu faktor utama penggerak Indeks Ha,2743.0,365.0,25.0,14.6,6.176,0.52,22.0,0.0,0.0,0.0,25.0,0.0,0.017134525,0.031352535,0.017863654,63.0,0.022967555,0.20266667,21.523548
24,12,id_newspapers_2018,0,596,"Desain pertama set emoji secara resmi dianggap sebagai karya seni kontemporer, d",4257.0,596.0,32.0,18.625,5.926544,0.55592656,54.0,0.0,0.0,0.0,32.0,1.0,0.02020202,0.033121917,0.006577402,112.0,0.026309608,0.21035059,140.99301
25,12,id_newspapers_2018,1,358,"Emoji, simbol grafis yang populer digunakan dalam aplikasi pesan, sekarang menja",2574.0,358.0,19.0,18.842106,6.036011,0.5290859,14.0,0.0,0.0,0.0,19.0,0.0,0.012820513,0.015151516,0.0,38.0,0.014763014,0.31578946,38.559566
26,13,id_newspapers_2018,0,468,Manchester United sukses menghempaskan Feyenoord dalam laga Liga Europa di Old T,3348.0,468.0,34.0,13.764706,5.8238993,0.5828092,53.0,1.0,0.0,0.0,33.0,5.0,0.025985664,0.046893667,0.007168459,103.0,0.030764636,0.16771488,96.69606
27,13,id_newspapers_2018,1,323,Manchester United berhasil menang dengan skor telak 4-0 atas Feyenoord dalam per,2289.0,323.0,23.0,14.043478,5.8206687,0.5775076,17.0,0.0,1.0,0.0,22.0,0.0,0.01747488,0.03451289,0.006116208,52.0,0.022717344,0.22492401,30.648758
28,14,id_newspapers_2018,0,893,"Sederet kuliner, seperti lumpia atau leonpia, wingko babat, mie jowo, tahu gimba",6497.0,893.0,59.0,15.135593,5.959474,0.5487404,64.0,0.0,0.0,0.0,59.0,0.0,0.018931815,0.0438664,0.002308758,164.0,0.02524242,0.18072289,117.13981
29,14,id_newspapers_2018,1,377,Kota Semarang terus mengembangkan potensi pariwisatanya dengan hadirnya sederet ,2652.0,377.0,23.0,16.391304,5.907652,0.4828496,12.0,0.0,0.0,0.0,23.0,0.0,0.013197587,0.025641026,0.0,37.0,0.013951735,0.22691293,22.715496
30,15,id_newspapers_2018,0,245,Niat bintang J-Pop Mayu Tomita hanya berbaik hati menjumpai para penggemarnya di,1719.0,245.0,22.0,11.136364,5.709163,0.69721115,12.0,0.0,1.0,0.0,21.0,0.0,0.01977894,0.041303083,0.012216405,42.0,0.02443281,0.15936255,102.80662
31,15,id_newspapers_2018,1,322,Dunia musik Jepang sedang dibuat muram karena salah satu bintang pop yang cukup ,2306.0,322.0,21.0,15.333333,5.929878,0.53963417,9.0,0.0,0.0,0.0,21.0,0.0,0.013009541,0.022983521,0.0017346054,40.0,0.017346054,0.24390244,36.806747
32,16,id_newspapers_2018,0,271,"Presiden Atletico Madrid, Enrique Cerezo, optimistis timnya dalam performa terba",1844.0,271.0,19.0,14.263158,5.551095,0.609489,16.0,0.0,0.0,0.0,19.0,1.0,0.018980477,0.04229935,0.009219089,53.0,0.028741866,0.20437956,56.71984
33,16,id_newspapers_2018,1,350,"Atletico Madrid, klub sepak bola asal Spanyol, sukses menunjukkan performa yang ",2435.0,350.0,19.0,18.421053,5.6481996,0.4238227,15.0,0.0,0.0,0.0,19.0,0.0,0.013963039,0.035728954,0.03737166,47.0,0.019301848,0.18836565,14.570744
34,17,id_newspapers_2018,0,336,Pejabat Gerakan Pembebasan Papua (UMLWP) Markus Haluk menyatakan kegiatan aktivi,2479.0,336.0,21.0,16.0,6.058309,0.5393586,17.0,0.0,0.0,0.0,21.0,1.0,0.015328761,0.06494554,0.0040338845,66.0,0.026623638,0.1516035,105.39144
35,17,id_newspapers_2018,1,349,Para aktivis Gerakan Pembebasan Papua yang sedang berjuang untuk hak-hak politik,2616.0,349.0,18.0,19.38889,6.309659,0.4715909,20.0,0.0,0.0,0.0,18.0,0.0,0.014525994,0.04051988,0.001529052,47.0,0.017966362,0.2784091,18.772818
36,18,id_newspapers_2018,0,287,PT Pertamina (Persero) menyatakan pembangunan terminal penerima gas alam cair (L,1993.0,287.0,16.0,17.9375,5.736111,0.59375,20.0,0.0,0.0,0.0,16.0,0.0,0.018063221,0.04565981,0.008529855,55.0,0.027596587,0.19444445,65.68607
37,18,id_newspapers_2018,1,308,Proyek pengoperasian kilang minyak liquefied natural gas (LNG) yang dimiliki ole,2240.0,308.0,14.0,22.0,6.031949,0.514377,16.0,0.0,0.0,0.0,14.0,0.0,0.013392857,0.030357143,0.003125,45.0,0.020089285,0.2747604,23.828781
38,19,id_newspapers_2018,0,283,Apple tengah berseteru dengan FBI terkait permintaan membuka enkripsi iPhone sal,2091.0,283.0,12.0,23.583334,6.17193,0.6385965,20.0,0.0,1.0,0.0,11.0,0.0,0.015303683,0.040172167,0.0019129603,50.0,0.023912003,0.21052632,145.98805
39,19,id_newspapers_2018,1,363,"Perusahaan teknologi terkemuka, Apple, kembali menuai sorotan akibat sengketa ya",2750.0,363.0,18.0,20.166666,6.381471,0.48228884,20.0,0.0,0.0,0.0,18.0,0.0,0.013818182,0.028363636,0.0025454545,46.0,0.016727272,0.24250682,42.843792
40,20,id_newspapers_2018,0,230,Presiden Joko Widodo menginginkan Bank Pembangunan Daerah (BPD) bisa membentuk i,1661.0,230.0,17.0,13.529411,5.809322,0.64830506,14.0,0.0,0.0,0.0,17.0,0.0,0.018663457,0.068633355,0.0048163757,61.0,0.036724865,0.17372881,105.703384
41,20,id_newspapers_2018,1,269,Presiden Joko Widodo kembali memberikan arahan kepada Badan Pengawas Daerah (BPD,1970.0,269.0,21.0,12.809524,6.051282,0.47985348,12.0,0.0,0.0,0.0,20.0,0.0,0.016243655,0.043147206,0.002538071,50.0,0.02538071,0.21245421,21.966106
42,21,id_newspapers_2018,0,468,"Asosiasi Perusahaan Jasa Pengiriman Ekspres, Pos, dan Logistik Indonesia (Asperi",3603.0,468.0,25.0,18.72,6.392405,0.5527426,49.0,0.0,0.0,0.0,25.0,1.0,0.02053844,0.03247294,0.008881488,106.0,0.029419927,0.20042194,56.107136
43,21,id_newspapers_2018,1,370,Asosiasi Perusahaan Jasa Logistik Indonesia (Asperindo) meminta pihak pemerintah,2750.0,370.0,20.0,18.5,6.1786666,0.58666664,23.0,0.0,0.0,0.0,20.0,0.0,0.015636364,0.033454545,0.0043636365,64.0,0.023272727,0.208,33.749737
44,22,id_newspapers_2018,0,394,Scott Kelly sejak tahun 2015 lalu menjadi bahan perbincangan hangat lantaran dir,2809.0,394.0,20.0,19.7,5.907268,0.556391,20.0,0.0,0.0,0.0,20.0,0.0,0.014239943,0.040939838,0.013171948,59.0,0.021003917,0.18546365,66.226074
45,22,id_newspapers_2018,1,330,"Seorang astronaut asal Amerika Serikat, Scott Kelly, pensiun setelah mendedikasi",2455.0,330.0,19.0,17.368422,6.239521,0.48203593,14.0,0.0,0.0,0.0,19.0,1.0,0.013441955,0.022810591,0.0032586558,42.0,0.017107943,0.21556886,22.84917
46,23,id_newspapers_2018,0,271,Pemkot Surabaya krisis jumlah Aparatur Sipil Negara (ASN) karena tiap tahun teru,1806.0,271.0,19.0,14.263158,5.412409,0.649635,17.0,0.0,0.0,0.0,19.0,0.0,0.019933555,0.046511628,0.018826135,53.0,0.029346623,0.13138686,121.54985
47,23,id_newspapers_2018,1,378,Krisis Aparatur Sipil Negara (ASN) menjadi persoalan yang cukup serius bagi Peme,2672.0,378.0,19.0,19.894737,5.858639,0.486911,20.0,0.0,0.0,0.0,19.0,0.0,0.014595808,0.03181138,0.0,57.0,0.021332335,0.28010473,25.64252
48,24,id_newspapers_2018,0,259,"Unggulan nomor empat, Petra Kvitova tidak menyangka bahwa dirinya mampu memperta",1801.0,259.0,16.0,16.1875,5.618868,0.5962264,24.0,0.0,0.0,0.0,16.0,0.0,0.022209883,0.023320377,0.01332593,54.0,0.029983342,0.2,58.497864
49,24,id_newspapers_2018,1,271,"Pebulu tangkis asal Republik Ceko, Petra Kvitova, berhasil menambah koleksi trof",1851.0,271.0,15.0,18.066668,5.5035973,0.57913667,25.0,0.0,0.0,0.0,15.0,0.0,0.021609941,0.041599136,0.014046461,51.0,0.027552674,0.21582733,28.789585
50,25,id_newspapers_2018,0,354,"Laporan Wartawan Republika, Citra Listya Rini, dari Rusia. NIZHNYNOVGOROD -- Pem",2616.0,354.0,31.0,11.419354,6.1792717,0.52100843,22.0,0.0,0.0,0.0,31.0,0.0,0.02025994,0.04587156,0.00764526,57.0,0.02178899,0.13725491,113.53839
51,25,id_newspapers_2018,1,318,"Setelah beberapa kali terjadi insiden keamanan yang mengguncang wilayah Moskow, ",2385.0,318.0,13.0,24.461538,6.2941175,0.5417957,17.0,0.0,0.0,0.0,13.0,0.0,0.012578616,0.014675053,0.004192872,35.0,0.014675053,0.25386998,31.279507
52,26,id_newspapers_2018,0,156,Salah satu hal yang benar-benar diperhatikan Rusia dalam mempersiapkan gelaran P,1162.0,156.0,13.0,12.0,6.227848,0.5949367,8.0,0.0,0.0,0.0,13.0,0.0,0.018072288,0.026678141,0.0103270225,23.0,0.01979346,0.20253165,62.733734
53,26,id_newspapers_2018,1,357,Para penjaga sampah di stadion Rusia menjadi sorotan dunia saat Piala Dunia 2018,2734.0,357.0,18.0,19.833334,6.520891,0.5069638,13.0,0.0,0.0,0.0,18.0,0.0,0.011338698,0.013533285,0.0029261156,37.0,0.013533285,0.24791086,34.428097
54,27,id_newspapers_2018,0,261,Kepala Staf Presidenan Moeldoko membantah tudingan Ketua Umum Partai Demokrat Su,1875.0,261.0,14.0,18.642857,5.961832,0.629771,24.0,0.0,0.0,0.0,13.0,3.0,0.019733334,0.07306667,0.0053333333,53.0,0.028266666,0.14122137,101.45444
55,27,id_newspapers_2018,1,293,Kepala Staf Presiden (KSP) Moeldoko memastikan netralitas Tentara Nasional Indon,2196.0,293.0,16.0,18.3125,6.319728,0.44217688,11.0,0.0,0.0,0.0,16.0,0.0,0.012295082,0.055555556,0.02413479,46.0,0.020947177,0.21428572,12.467403
56,28,id_newspapers_2018,0,205,Dinas Perhubungan (Dishub) DKI Jakarta berencana untuk melakukan sertifikasi ter,1561.0,205.0,12.0,17.083334,6.4126215,0.4854369,13.0,0.0,0.0,0.0,12.0,0.0,0.016015375,0.03459321,0.001921845,36.0,0.02306214,0.22330096,22.92314
57,28,id_newspapers_2018,1,317,Dinas Perhubungan (Dishub) DKI mulai mempersiapkan program sertifikasi bagi peng,2545.0,317.0,18.0,17.61111,6.8244514,0.42319748,21.0,0.0,0.0,0.0,18.0,0.0,0.015324165,0.017681729,0.0019646366,52.0,0.02043222,0.23197491,16.832428
58,29,id_newspapers_2018,0,273,Sebanyak 171.507 personel Polri akan diturunkan untuk mengamankan 171 daerah yan,2086.0,273.0,23.0,11.869565,6.184397,0.61702126,35.0,0.0,0.0,0.0,23.0,0.0,0.02780441,0.032598276,0.02636625,70.0,0.033557046,0.16312057,61.62426
59,29,id_newspapers_2018,1,287,"Pemilihan Kepala Daerah (Pilkada) serentak yang digelar pada Rabu, 9 Desember 20",2181.0,287.0,22.0,13.045455,6.4221454,0.5778547,13.0,0.0,0.0,0.0,22.0,0.0,0.016047684,0.028885832,0.0068775793,39.0,0.017881706,0.2249135,26.928013
60,30,id_newspapers_2018,0,528,"Pada laga uji coba yang di Old Sports Hall, Bristish School Jakarta, Tangerang S",3715.0,528.0,34.0,15.529411,5.6444445,0.56666666,44.0,0.0,0.0,0.0,33.0,3.0,0.020726783,0.05060565,0.011574697,140.0,0.03768506,0.14629629,82.21067
61,30,id_newspapers_2018,1,418,Olahraga basket memang sudah sangat familiar di kalangan masyarakat Indonesia. N,3049.0,418.0,29.0,14.413794,6.1040187,0.46335697,16.0,0.0,1.0,0.0,28.0,0.0,0.014758937,0.018038701,0.0026238111,50.0,0.01639882,0.2033097,21.93493
62,31,id_newspapers_2018,0,420,Arab Saudi berhadapan dengan Mesir di matchday ketiga Grup A Piala Dunia 2018. M,2946.0,420.0,30.0,14.0,5.5330296,0.54897493,26.0,8.0,0.0,0.0,29.0,6.0,0.021384928,0.06143924,0.010522743,98.0,0.033265445,0.11845102,157.19334
63,31,id_newspapers_2018,1,376,Pertandingan antara Arab Saudi dan Mesir pada babak penyisihan Grup A Piala Duni,2722.0,376.0,17.0,22.117647,6.013055,0.5248042,19.0,1.0,0.0,0.0,17.0,0.0,0.013592946,0.024246877,0.008082292,44.0,0.016164584,0.18798956,47.708996
64,32,id_newspapers_2018,0,285,"Dua pemuda bernama Alan (24) dan Ahmad (24), nekat mencuri kotak amal milik yaya",2082.0,285.0,21.0,13.571428,5.975862,0.6551724,26.0,0.0,0.0,0.0,21.0,0.0,0.022574447,0.027857829,0.010086455,65.0,0.031219982,0.1275862,64.565414
65,32,id_newspapers_2018,1,234,Dua pemuda nekat mengambil kotak amal anak yatim yang ada di salah satu masjid d,1650.0,234.0,17.0,13.764706,5.78481,0.6329114,16.0,0.0,0.0,0.0,17.0,0.0,0.02,0.025454545,0.0054545454,46.0,0.027878787,0.15189873,67.6172
66,33,id_newspapers_2018,0,188,"Sejak beberapa bulan ini, masyarakat di Kota Pangkalan Bun diresahkan dengan keb",1392.0,188.0,9.0,20.88889,6.125654,0.68586385,9.0,0.0,0.0,0.0,9.0,0.0,0.012931035,0.03735632,0.005028736,35.0,0.025143677,0.17277487,101.936745
67,33,id_newspapers_2018,1,250,"Komplotan peminta sumbangan masjid yang meresahkan warga, akhirnya berhasil diam",1870.0,250.0,14.0,17.857143,6.2687745,0.5494071,12.0,0.0,0.0,0.0,14.0,0.0,0.013903744,0.030481283,0.005882353,35.0,0.018716577,0.24110672,21.834526
68,34,id_newspapers_2018,0,322,Presiden Joko Widodo menegaskan netralitas TNI dan Polri dalam pemilihan kepala ,2393.0,322.0,16.0,20.125,6.094512,0.5030488,31.0,0.0,0.0,0.0,16.0,2.0,0.019640619,0.055578772,0.010865023,73.0,0.030505642,0.17378049,50.233902
69,34,id_newspapers_2018,1,358,"Presiden Joko Widodo (Jokowi) menegaskan bahwa netralitas TNI, Polri, dan BIN ha",2621.0,358.0,19.0,18.842106,6.102778,0.51944447,30.0,0.0,0.0,0.0,19.0,0.0,0.018695155,0.051125526,0.004578405,67.0,0.025562763,0.27222222,20.72232
70,35,id_newspapers_2018,0,1128,"'Lagi Syantik' kini tengah disukai oleh banyak orang. Bukan di Indonesia saja, b",7509.0,1128.0,64.0,17.625,5.484099,0.17932862,78.0,0.0,24.0,25.0,15.0,0.0,0.01891064,0.12465042,0.00093221467,174.0,0.023172194,0.07508834,16.9754
71,35,id_newspapers_2018,1,355,"Banyak sekali lagu-lagu yang merajai panggung musik tanah air, namun ada satu la",2482.0,355.0,20.0,17.75,5.792717,0.48179272,24.0,0.0,0.0,0.0,20.0,0.0,0.01772764,0.034649476,0.0016116035,60.0,0.024174053,0.23529412,21.305534
72,36,id_newspapers_2018,0,654,Timnas Uruguay meraih kemenangan 3-0 atas Rusia dalam laga pamungkas penyisihan ,4524.0,654.0,35.0,18.685715,5.257468,0.5376956,44.0,7.0,0.0,0.0,34.0,6.0,0.018788682,0.063439436,0.032272324,175.0,0.03868258,0.11664296,115.964714
73,36,id_newspapers_2018,1,292,Uruguay berhasil mengalahkan Rusia dengan skor 3-0 pada laga terakhir babak peny,1989.0,292.0,19.0,15.368421,5.4950166,0.53156143,14.0,0.0,0.0,0.0,19.0,0.0,0.016591253,0.027652087,0.009049774,44.0,0.02212167,0.19933555,23.290533
74,37,id_newspapers_2018,0,250,Menteri Perhubungan (Menhub) Budi Karya Sumadi menjawab komentar Wakil Ketua DPR,1841.0,250.0,18.0,13.888889,5.857143,0.6177606,26.0,0.0,1.0,0.0,17.0,0.0,0.023900054,0.055947855,0.009234112,75.0,0.040738728,0.12741312,81.37495
75,37,id_newspapers_2018,1,384,"Wakil Ketua DPR RI, Fahri Hamzah, menyebut harga pembangunan tiang light rail tr",2841.0,384.0,18.0,21.333334,6.177835,0.47938144,34.0,0.0,0.0,0.0,18.0,0.0,0.018303415,0.032030974,0.0035198873,61.0,0.021471312,0.22680412,18.01261
76,38,id_newspapers_2018,0,375,Sejumlah tokoh nasional dan daerah hadir di Sarasehan Kebangsaan Dirgahayu 639 T,2675.0,375.0,26.0,14.423077,5.8241467,0.5879265,32.0,0.0,0.0,0.0,26.0,0.0,0.021682244,0.050093457,0.007850467,82.0,0.030654205,0.16272967,49.68566
77,38,id_newspapers_2018,1,285,"Putri Megawati Soekarnoputri, mantan Presiden RI yang juga cucu dari Presiden Pe",2161.0,285.0,18.0,15.833333,6.3564014,0.56401384,16.0,0.0,0.0,0.0,18.0,0.0,0.015733456,0.04396113,0.0032392412,40.0,0.018509949,0.2214533,20.391548
78,39,id_newspapers_2018,0,470,"Adik anggota DPR RI Herman Hery, Yudi Adranacus, membantah kakaknya berada di da",3288.0,470.0,36.0,13.055555,5.6422596,0.4665272,53.0,0.0,0.0,0.0,36.0,0.0,0.027068127,0.041058395,0.008819952,122.0,0.03710462,0.17573221,69.84827
79,39,id_newspapers_2018,1,322,"Herman Hery, Wakil Gubernur Jawa Barat, memang dikenal sebagai sosok yang sangat",2262.0,322.0,16.0,20.125,5.7027025,0.45945945,15.0,0.0,0.0,0.0,16.0,0.0,0.013704686,0.031388152,0.0,42.0,0.018567638,0.24024025,19.054981
80,40,id_newspapers_2018,0,186,Fokus penjualan pada segmen tertentu menjadi salah satu kunci kesuksesan dalam b,1331.0,186.0,13.0,14.307693,5.8210526,0.6526316,17.0,0.0,0.0,0.0,13.0,0.0,0.022539444,0.036814425,0.013523666,40.0,0.030052591,0.16842106,40.58465
81,40,id_newspapers_2018,1,397,Summarecon siap fokus pada segmen properti di bawah Rp 2 miliar. Langkah ini dia,2895.0,397.0,21.0,18.904762,6.057357,0.51122195,33.0,0.0,0.0,0.0,21.0,0.0,0.018652849,0.018652849,0.0055267704,70.0,0.02417962,0.23690774,28.06257
82,41,id_newspapers_2018,0,186,Wakil Presiden Jusuf Kalla (JK) mengklaim tak bicara soal politik usai mengunjun,1286.0,186.0,18.0,10.333333,5.388601,0.6735751,20.0,0.0,0.0,0.0,18.0,0.0,0.02954899,0.0622084,0.0155521,61.0,0.047433905,0.13989638,62.44186
83,41,id_newspapers_2018,1,293,Wakil Presiden Jusuf Kalla menegaskan bahwa belum ada pembicaraan politik yang d,2192.0,293.0,21.0,13.952381,6.1371236,0.5284281,22.0,0.0,0.0,0.0,21.0,0.0,0.019616788,0.03968978,0.008211679,65.0,0.029653285,0.20401338,22.30499
84,42,id_newspapers_2018,0,336,Kementerian Pariwisata memperkenalkan homestay Rumah Desa berupa homepod berbent,2482.0,336.0,25.0,13.44,6.144118,0.6,19.0,0.0,0.0,0.0,25.0,0.0,0.01772764,0.031023368,0.006849315,58.0,0.02336825,0.19705883,66.48663
85,42,id_newspapers_2018,1,301,Indonesia sebagai salah satu negara dengan kekayaan alam yang melimpah memiliki ,2161.0,301.0,19.0,15.842105,5.9836063,0.50163937,15.0,0.0,0.0,0.0,19.0,0.0,0.015733456,0.016196206,0.005552985,36.0,0.016658954,0.28196722,20.626719
86,43,id_newspapers_2018,0,523,Masih segar dalam ingatan Didier Deschamps saat dia mengangkat trofi Piala Dunia,3626.0,523.0,34.0,15.382353,5.7366414,0.5400763,31.0,0.0,1.0,0.0,33.0,0.0,0.01792609,0.031439602,0.003309432,98.0,0.027027028,0.20038168,108.73545
87,43,id_newspapers_2018,1,302,Hari Kemerdekaan Indonesia menjadi momen yang sangat ditunggu-tunggu oleh semua ,2216.0,302.0,19.0,15.894737,6.127451,0.5294118,17.0,0.0,0.0,4.0,15.0,0.0,0.016245488,0.016696751,0.014440433,40.0,0.018050542,0.2124183,36.681805
88,44,id_newspapers_2018,0,253,"Kapolda Jabar, Irjen Pol Drs Agung Budi Maryoto mengatakan, arus mudik dan balik",1761.0,253.0,17.0,14.882353,5.7637796,0.511811,16.0,0.0,0.0,0.0,17.0,0.0,0.018739352,0.026121521,0.003975014,45.0,0.025553662,0.1496063,49.049423
